,titles,starRatings,monthOfTravel,yearOfTravel,author,reviews,dateResp,managers,responses
360,"Old, poor Cust. Serv. Go somewhere elsee",1,7,2019,Guillermo C,"The only reason I stayed here is because they are pet friendly, otherwise I will not even look at them. The rooms are old and the room had long hairs from someone else. Check In personnel not very friendly. Waiters at the restaurant seemed not willing to work.","Responded Jul 21, 2019","Response from Estibaliz B, Front Office Manager at Novotel Monterrey ValleResponded Jul 21, 2019","Thank you for taking the time to share your feedback. While I wish you had a better experience, it is feedback like this that we learn from and use to improve. We work hard to deliver an exceptional guest experience, and it's apparent in this case that we fell short. If you give us a chance to earn back your trust, I can assure you that we will do our best to give you a better hotel experience."
361,Big room,4,4,2019,Giovanna M,Its a nice hotel with plenty of space in the rooms. I also tried the restaurant and the Enchiladas were really good. Good for business trips. Nearby there is a mall with good restaurants where you can have a nice dinner,"Responded Apr 29, 2019","Response from Estibaliz B, Front Office Manager at Novotel Monterrey ValleResponded Apr 29, 2019",Thank you for taking the time to share your feedback. We hope to welcome you back to our hotel very soon!
362,What happened to this hotel?,2,4,2019,mimiMexico_df,"I’m a constant traveler, and have been in Monterrey many times, staying in different hotels. In this hotel, at least twice before. It is very well located. But something happened...they refurbished the hotel, and instead of upgrading it, my feeling is that they degraded it!! They changed the showers, and decided for the doorless type.... so every time you take one, your bathroom becomes a pool, my bedspread had two blood stains.... corridors look old and untidy.....  Breakfast was really tasty..... but can’t win against my “ughh!!” room feeling....  I’ll try another hotel next time","Responded Apr 8, 2019","Response from Estibaliz B, Front Office Manager at Novotel Monterrey ValleResponded Apr 8, 2019","Thank you for taking the time to share your feedback. While I wish you had a better experience, it is feedback like this that we learn from and use to improve. We work hard to deliver an exceptional guest experience, and it's apparent in this case that we fell short. If you give us a chance to earn back your trust, I can assure you that we will do our best to give you a better hotel experience."
363,Avoid it!!!,1,3,2019,gdcinc,"Have been in some Novotel hotels and those were fine. This one is kind of a refurbished one. The reception is ok but the rooms are quite old, bad bed and dirty towels. There are a few good options around better than this one.","Responded Apr 29, 2019","Response from Estibaliz B, Front Office Manager at Novotel Monterrey ValleResponded Apr 29, 2019","Thank you for taking the time to share your feedback. While I wish you had a better experience, it is feedback like this that we learn from and use to improve. We work hard to deliver an exceptional guest experience, and it's apparent in this case that we fell short. If you give us a chance to earn back your trust, I can assure you that we will do our best to give you a better hotel experience."
364,Business Trip,4,9,2019,Osvaldo R,"We went to Monterrey to work, the room was comfortable included Internet connection also count with wire connection, the bed wasn't soft, a little bit problem was the breakfast they need to improve it, but the smoothies were delicious it's near to the airport so it's easy to move.","Responded Sep 27, 2019","Response from PachecoRic, General Manager at Hotel Ibis Monterrey AirportResponded Sep 27, 2019","Dear Guest  thank you for your opinion, in ibis we always seek to satisfy our customers, we appreciate the opportunity for improvement that we give with your comments, we hope to see you soon again in monterrey ......greetings"
365,Easy access,3,8,2019,PauloMarinho,"The hotel is only a few kilometers away from the airport that makes everything easier. Rooms are Ibis standard, air-conditioning and roomkeeping as well as wifi were working very well, what needs to be improved is the quality of the breakfast. The items are the same everyday without much variation. It is a reasonable stay for the price.","Responded Aug 22, 2019","Response from PachecoRic, General Manager at Hotel Ibis Monterrey AirportResponded Aug 22, 2019","Dear Paulo  Thank you very much for your kind comments, we continue working on improving our food supply, we hope that in your next visit see these changes, greetings!"
366,You get what you pay f r,3,4,2019,candace m,"I stayed here a few days ago for one night during layover for flight during vaca in mexico and although a very good price. They charged me again after I had already paid and had confirmation, they will not answer the phone so although they say they provide shuttle to and from airport you still have to pay 15 for a taxi. I tried calling about extra charge they answered once and as soon as i mentioned double charged hung up and never answered again.  Also do not eat food in their restaurant expensive and threw up it was so gross and fries were fried all in same grease all day tasted like and never changed ughh","Responded Apr 11, 2019","Response from PachecoRic, General Manager at Hotel Ibis Monterrey AirportResponded Apr 11, 2019","Dear candace  please receive our most sincere apology for what you mention, I would like to be able to give you a more personalized treatment through the mail h3250-gm@accor.com, help me with an email to contact us ?  "
367,not Accor worthy,2,4,2019,Peter P,"Hotel rooms so clean. Rooms not in the best condition. Blanket on the bed with dirty stains. Sofa with holes in the seat . Curtain in poor condition. My colleague, to whom I had also booked a room, gab that her Room stank. There was also no complimentary water bottle in the room with her. Fittings heavily rusted by the shower. No Welcome gift as a platinum member.  No Invoice could be created at the checkout. Information about shuttle service in the early morning was incorrect.  In the future, I will no longer book the Ibis, There are much better options at the airport in Monterrey. ","Responded Apr 11, 2019","Response from PachecoRic, General Manager at Hotel Ibis Monterrey AirportResponded Apr 11, 2019","Dear Peter  we regret very much the details indicated, please receive our most sincere apology, we would have been delighted to address the complaint at the time, now there is no more to work on the improvements indicated, we hope the opportunity to be able to show you the improvements on future occasions."
368,They did not respect my reservation and sent me to a motel,1,5,2018,hueppi,"Worst experienced ever! I had reserved via booking.com with a fixed rate. They claimed not to have my reservation and not to work with booking.com. They referred me to a motel. The city was completely booked out so I did not really have any options.  Terrible night, terrible experience!","Responded May 11, 2018","Response from PachecoRic, General Manager at Hotel Ibis Monterrey AirportResponded May 11, 2018","Dear guest we regret what happened during his last visit, the reservation systems were presenting faults and we are in the investigation of the origin of them, the option that was handled was for being the only available option in the city, we deeply regret that you were affected by this situation that was beyond our reach to resolve."
369,I'd never recommend Safi to my worst enemy.,2,3,2022,AlfredoTamez,"I've never before experienced a ""luxury"" hotel whereby toilets did not work and then were never fixed to our satisfaction and only were we offered a new room at the very end of our stay, This hotel has some soul searching to do. They are billed as one of the top hotels in Monterrey, MX, a great city indeed. They do not live up to more modest hotels I've stayed in before. ","Responded Apr 6, 2022","Response from Safi  Royal Luxury , Propietario at Hotel Safi Royal Luxury CentroResponded Apr 6, 2022",En nombre del Hotel SAFI ROYAL LUXURY le ofrecemos las más sinceras disculpas por el inconveniente ocurrido.  Estamos tomando medidas correctivas inmediatas. Su comodidad es lo más importante para nosotros.  Nos gustaría nos pudiera dar nuevamente la oportunidad de tenerlo por nuestro Hotel en su próxima visita a Monterrey. 
370,Good to stay,5,3,2022,Grigore R,"Very nice hotel with good breakfast and nice personal. It’s better to choose the breakfast with all, the price difference is quite small. If you are going with your car, you can park inside, they have a private free parking. Good location in Monterrey. The room is big and clean, also the bathroom.","Responded Mar 10, 2022","Response from Safi  Royal Luxury , Propietario at Hotel Safi Royal Luxury CentroResponded Mar 10, 2022",En nombre del Hotel Safi Royal Luxury agradecemos sus comentarios. Para nosotros su opinión es muy importante para seguir mejorando nuestra calidad de servicios.  Siempre será un placer atenderle y tenerlo de regreso en nuestro hotel y                    hacerlo sentir como en casa.  
371,Always An Awesome Experience,5,2,2022,ldamiansaldana2022,The customer service is phenomenal ! I am very satisfied and I will definitely come back again. Everything was very close and the Hotel provides a Taxi that is really convenient and super safe. thank you !,"Responded Mar 9, 2022","Response from Safi  Royal Luxury , Propietario at Hotel Safi Royal Luxury CentroResponded Mar 9, 2022","Hotel Safi Royal Luxury agradece sus comentarios. Gracias por compartirnos su experiencia al hospedarse en nuestro hotel. Siempre es un gusto atenderle y nos llena de gran satisfacción saber que su estancia fue placentera.  Esperamos tenerlo nuevamente en nuestro hotel en su próxima estancia, para seguir consintiéndolo como Usted lo merece.  "
372,Fantastic stays,5,1,2022,Mayana32,We’ve stayed here 5 times in the last 4 years and each time is as perfect as the last.  Out of this world staff eager to help in whatever they can.  The food is super delicious.  The whole hotel is always kept extra clean ,"Responded Feb 2, 2022","Response from Safi  Royal Luxury , Propietario at Hotel Safi Royal Luxury CentroResponded Feb 2, 2022"," Hotel Safi Royal Luxury agradece sus comentarios. Gracias por compartirnos su experiencia al hospedarse en nuestro hotel. Siempre es un gusto atenderle y nos llena de gran satisfacción saber que su estancia fue placentera.  Esperamos tenerlo nuevamente en nuestro hotel en su próxima estancia, para seguir consintiéndolo como Usted lo merece.  "
373,Not the best experiment.,3,12,2021,ffrisch2,"I went to order food at the bar and I ended up order for 200 pesos. When the bill came they charged me 280 pesos. I was very upset and the employee couldn't explain why the change in price. I ended up paying it. I asked another employee if they served breakfast (I thought breakfast are usually free if you stay at a hotel), she told me yes but didn't mentioned it's about $20 USD.  It was right before my first bite another employee came and told me breakfast is for $20 USD. I was disappointed  ","Responded Feb 2, 2022","Response from Safi  Royal Luxury , Propietario at Hotel Safi Royal Luxury CentroResponded Feb 2, 2022",En nombre del Hotel SAFI ROYAL LUXURY le ofrecemos las más sinceras disculpas por el inconveniente ocurrido.  Estamos tomando medidas correctivas inmediatas. Su comodidad es lo más importante para nosotros.
374,Great stay,5,11,2021,gsmiles247,This was my 2nd visit to this hotel and I am very appreciative of their Covid-19 response and safety measures in place.  I really like their restaurant’s breakfast and offer a variety of foods every morning which will appease any picky eater. The service at the restaurant was also top notch with very attentive staff.,"Responded Dec 16, 2021","Response from Safi  Royal Luxury , Propietario at Hotel Safi Royal Luxury CentroResponded Dec 16, 2021","Hotel Safi Royal Luxury agradece sus comentarios. Gracias por compartirnos su experiencia al hospedarse en nuestro hotel. Siempre es un gusto atenderle y nos llena de gran satisfacción saber que su estancia fue placentera.  Esperamos tenerlo nuevamente en nuestro hotel en su próxima estancia, para seguir consintiéndolo como Usted lo merece.  "
375,A great experience,5,11,2021,John G,"First time staying at this hotel and the experience was great the rooms were big and very clean , the hotel was very clean on the outside the service at the restaurant was excellent the had a cook to cook your eggs any way you want them if you happen to be in Monterrey and need a place to stay I highly recommend this hotel","Responded Dec 16, 2021","Response from Safi  Royal Luxury , Propietario at Hotel Safi Royal Luxury CentroResponded Dec 16, 2021","Hotel Safi Royal Luxury agradece sus comentarios. Gracias por compartirnos su experiencia al hospedarse en nuestro hotel. Siempre es un gusto atenderle y nos llena de gran satisfacción saber que su estancia fue placentera.  Esperamos tenerlo nuevamente en nuestro hotel en su próxima estancia, para seguir consintiéndolo como Usted lo merece.  "
376,Happy Camper !!!,5,11,2021,ldamiansaldana,"I had only one bad experience, with people coming into the room multiple times during the day without much notice; but the overall stayed was very nice and at the end I was very content with my stayed. Thank You. ","Responded Dec 16, 2021","Response from Safi  Royal Luxury , Propietario at Hotel Safi Royal Luxury CentroResponded Dec 16, 2021","Hotel Safi Royal Luxury agradece sus comentarios. Gracias por compartirnos su experiencia al hospedarse en nuestro hotel. Siempre es un gusto atenderle y nos llena de gran satisfacción saber que su estancia fue placentera.  Esperamos tenerlo nuevamente en nuestro hotel en su próxima estancia, para seguir consintiéndolo como Usted lo merece.  "
377,Just OK..,3,10,2021,Ray K,"Check in staff was very nice.   The rooms and the hotel in general is one of those that needs to be renovated.   The rooms are ok in size, but the bed linens are getting old and a little frayed.   The towels are a bit dog eared, and stingy.  One hand towel, no wash cloths. The TVs are fuzzy and only have 2 or 3 channels in english just network channels from miami or south texas but no cable channels. I've been there a few times because of locations, but no more.  Going to try the Quinta Real that is right next door. Service in the bar and restaurant is non-existant. If they got paid to ignore customers, they would all be rich.","Responded Dec 16, 2021","Response from Safi  Royal Luxury , Propietario at Hotel Safi Royal Luxury CentroResponded Dec 16, 2021","Hotel Safi Royal Luxury agradece sus comentarios. Gracias por compartirnos su experiencia al hospedarse en nuestro hotel. Siempre es un gusto atenderle y nos llena de gran satisfacción saber que su estancia fue placentera.  Esperamos tenerlo nuevamente en nuestro hotel en su próxima estancia, para seguir consintiéndolo como Usted lo merece.  "
378,"Nice, but Pictures are Misleading",3,8,2021,Lee Ann Murray,"Our check in process was very long and they weren't overly friendly. I was there on business and not vacation so the all business desk staff didn't really bother me. They couldn't get my hot water to work and didn't have any other rooms so four days without hot water. The property tries to be luxury, but it is far from it. The best part was a view of a beautiful church from my room.","Responded Aug 25, 2021","Response from Safi  Royal Luxury , Propietario at Hotel Safi Royal Luxury CentroResponded Aug 25, 2021","En nombre del Hotel SAFI ROYAL LUXURY le ofrecemos las más sinceras disculpas por el inconveniente ocurrido.  Estamos tomando medidas correctivas inmediatas. Su comodidad es lo más importante para nosotros.  Nos gustaría nos pudiera dar nuevamente la oportunidad de tenerlo por nuestro Hotel en su próxima visita a Monterrey. Agradecería me pudiera enviar a online@safihotel.com las fechas de su estancia, a nombre de quien se reservó la habitación y algún número de teléfono para ponernos en contacto con usted.  Quedo a sus órdenes. "
379,I enjoyed my stay and I'm for sure going back and staying.  ,5,1,2022,Paradise318734,"Carmen mendoza was one of the best waitress in the entire restaurant, she was kind,sweet,and she overall such an amazing and helpful person. She helped me get through the city of monterrey. She helped my daughters translate the things on the menu, and explained everything to them. ","Responded Apr 14, 2022","Response from David Chavez, General Manager at Hotel Antarisuite CintermexResponded Apr 14, 2022","Estimado Huésped  529salvadord  En nombre del Hotel Antaris Cintermex, le damos las gracias por habernos hecho el honor de su visita, además Agradecemos sus comentarios ya que son de gran valor para nosotros y para todos los que laboramos en este hotel con Gran placer compartiremos sus comentarios a nuestro personal.  Si tiene pensado en regresar a Monterrey por Favor no dude en contactarme, para encargarme de su estancia personalmente.  Javier Mendez Gerente General Hotel Antaris Cintermex"
380,Breakfast/ stay,5,7,2020,Caren R,"It was such and amazing  place to stay, the service was absolutely great! I definitely enjoyed my stay there my breakfast and the service there was amazing the lady that helped us there was so sweet and very enjoyable to talk to her name is carmen, y’all definitely need to ask for her she’s so nice. This hotel is amazing 😉 You will not regret staying here at all!","Responded Aug 13, 2020","Response from Javier  Mendez, Director General at Hotel Antarisuite CintermexResponded Aug 13, 2020","Dear Carenr125  Thank you for taking the time to tell us about your experience at Antaris Monterrey .  Please know that your feedback is extremely valuable to us. We use feedback, such as yours, to continuously make changes to our brand to improve the guest experience. We hope that you will give us the opportunity to serve you again in the future.  Best Regard Javier Mendez"
381,Breakfast,5,7,2020,Jennifer R,"My server Carmen Mendoza was very polite and friendly, I enjoyed all my meals and her ability to stay on top of all of our needs. If we had any questions she was always ready to answer it for us and was always in a good mood.","Responded Aug 13, 2020","Response from Javier  Mendez, Director General at Hotel Antarisuite CintermexResponded Aug 13, 2020","Dear jenniferrB8132BT  Thank you for taking the time to tell us about your experience at Antaris Monterrey .  Please know that your feedback is extremely valuable to us. We use feedback, such as yours, to continuously make changes to our brand to improve the guest experience. We hope that you will give us the opportunity to serve you again in the future.  Best Regard Javier Mendez"
382,MV20 woman’s conference,5,3,2020,Teresa Martin,"We were there for a woman’s conference and from the moment we arrived we felt so welcome.  They were very helpful and attentive. We loved the room, so modern and right in front of cintermex we just had to cross the pedestrian bridge, the location is the best, so close to different options to eat but we loved the hotel restaurant so much that we eat there 90% of the time. The breakfast buffet was so good, the whole menu is so delicious. We were served by Carmen who always went beyond the extra mile to make sure we were enjoying our food.  The hotel is so beautiful and modern inside but by far my favorite was the restaurant’s decor  It’s the perfect hotel for a couples get away I can’t wait to go back with my husband for a quick get away. Thank you so much for such a wonderful experience.…","Responded Aug 13, 2020","Response from Javier  Mendez, Director General at Hotel Antarisuite CintermexResponded Aug 13, 2020","Dear Teresa1928  Thank you for taking the time to tell us about your experience at Antaris Monterrey .  Please know that your feedback is extremely valuable to us. We use feedback, such as yours, to continuously make changes to our brand to improve the guest experience. We hope that you will give us the opportunity to serve you again in the future.  Best Regard Javier Mendez"
383,Good,5,2,2020,Joshua G,"Good concept, very close to Expo cintermex excellent service from reception area, especially from miss Johana, excellent attitude and disposition of this girl, she support myself with my reservation during my check-in, The hotel have a very small parking lot and the rooms quite clean, WiFi very slow.","Responded Feb 20, 2020","Response from Jorge P, Director General at Hotel Antarisuite CintermexResponded Feb 20, 2020","Dear joshuagG8728LA,  Thank you for taking the time to tell us about your experience at Antaris Monterrey .  Please know that your feedback is extremely valuable to us. We use feedback, such as yours, to continuously make changes to our brand to improve the guest experience. We hope that you will give us the opportunity to serve you again in the future.  Best Regard Javier Mendez"
384,Great Location,4,2,2020,Nick,"The hotel is located just infront of Cintermex, it is 3 minutes walking from it. There is a bridge so you dont have wait for traffic lights. It is very well located, many restaurants around and they have a beautifull park infront, perfect is you like jogging in the morning. The hotel is going though renovations, the property is old so they have some limitations. Check in was fast and they also have a restaurant. The food is good and  the waitress Carmen did a great job, very nice and always willing to help.","Responded Feb 14, 2020","Response from Jorge P, Director General at Hotel Antarisuite CintermexResponded Feb 14, 2020","Dear nicolascZ5937WG,  Thank you for taking the time to tell us about your experience at Antaris Monterrey .  Please know that your feedback is extremely valuable to us. We use feedback, such as yours, to continuously make changes to our brand to improve the guest experience. We hope that you will give us the opportunity to serve you again in the future.  Best Regard Javier Mendez"
385,Convenient & affordable option,4,3,2019,JGarcia,"Location for this hotel is really good, it is a fact that the hotel has some opportunities regards the rooms but they are working to improve it. Talking about of staff team service, it is really good. I want to give a aknowledge to Galette of front desk.","Responded Mar 19, 2019","Response from ggcintermex, Gerente at Hotel Antarisuite CintermexResponded Mar 19, 2019","Dear jgarciafdz01,  Thank you for taking the time to tell us about your experience at Antaris Monterrey .  Please know that your feedback is extremely valuable to us. We use feedback, such as yours, to continuously make changes to our brand to improve the guest experience. We hope that you will give us the opportunity to serve you again in the future.  Best Regard Javier Mendez"
386,Terrible Hotel,1,2,2019,Sightseer53602870228,"Bad wifi , the room are not clean. the first floor smells bad.I'll not return to this place ever again....The pool was not clean . The only good think was the location , in front the Centermex . but it's noisy. ","Responded Mar 2, 2019","Response from ggcintermex, Gerente at Hotel Antarisuite CintermexResponded Mar 2, 2019","Dear Sightseer53602870228,  Thank you for choosing Antaris  and for taking the time to provide feedback on your experience at Antaris cintermex  I would like to start apologizing for not meeting your expectations. We strive to make each stay as pleasant and comfortable as possible, and we will use your feedback to train our team to provide you with a better experience in the future.  I hope you will give us the opportunity to stay with us again to show you that your unsatisfactory stay was an exception.  Best regard Javier Mendez"
387,Affordable Hotel,4,2,2019,Joaquín G.,"In general terms, the hotel is convenient by location but, it is a older building and has some issues with the rooms, some of them are being renewed as additional information. Regard to staff attention is very professional, especially Arely of front desk.","Responded Mar 2, 2019","Response from ggcintermex, Gerente at Hotel Antarisuite CintermexResponded Mar 2, 2019","Deard jgarciafdz  Thank you for taking the time to tell us about your experience at Antaris Monterrey .  Please know that your feedback is extremely valuable to us. We use feedback, such as yours, to continuously make changes to our brand to improve the guest experience. We hope that you will give us the opportunity to serve you again in the future.  Best regard Javier Mendez"
388,Excellent value for money.,5,3,2022,Aaron,Krystal Monterrey is in a great location and offers excellent value for money. The rooms are big and spacious with great views from the huge windows. The on-site restaurant provides good breakfast and dinner options at a very reasonable additional cost. The hotel is situated close to the Marco-plaza and a busy shopping street. I found the staff to be very friendly.,"Responded Mar 18, 2022","Response from Krystal Monterrey, Director General at Krystal MonterreyResponded Mar 18, 2022","Dear Mr. AaroninDublin:  Greetings from Monterrey, and thank you to share your comments about your recent stay in our establishment. On behalf of our entire personnel, we feel very pleasant that you enjoyed all the hotel facilities at all.  Your comments are very important to increase the hotel value getting the best recognition as the best hotel in Monterrey as well. We really appreciate if you can join us once again and it will be perfect if we can meet you personally as well, in that case do not hesitate to contact us any time.  Kind regards.  Juan Carlos Martinez. General Manager "
389,Stay away!,1,1,2022,Joe R,Very worst hotel you could stay at! Stay far away. The rooms are in SEVERE disrepair and filthy. Staff unhelpful and unfriendly. Disgusting. Half the lights don’t work in our room. Bathroom mirror rigged and hanging off the wall. Flooring has gaps and missing pieces. Curtains don’t close. Walls are 20 different colors from all the times they’ve been repaired and patched. TV doesn’t work. Refrigerator missing. Elevators don’t work. Footprint 7 feet up the walls. Shower grout so moldy it looks like it’s never been cleaned.,"Responded Jan 15, 2022","Response from Krystal Monterrey, Director General at Krystal MonterreyResponded Jan 15, 2022","Dear Mr. Joe R.  Receive cordial greetings from the entire personnel of Hotel Krystal Monterrey. We would like to thank you for your feedback regarding the unfortunately unpleasant stay with us.  Before we begin we would like to express our most sincere apologizes for every inconvenience you have encountered during your stay here at Hotel Krystal Monterrey. We regret not being able to meet the expectations you had before arriving at our hotel.   There is always room for improvement and feedback of our clients play a key role to show us where we have to make an extra effort to serve our valued clients better. We deeply regret that in your particular case we were not able to satisfy and surpass your stay´s expectations this time. However, we do not want to lose you as our valued guest and we hope to be given a second chance to recover the trust into our establishment.  Kind regards.  Juan Carlos Martinez Director General "
390,"No Air Conditioning No internet,",1,6,2021,Tram,"The property is somewhat nice.  But if it's 74F outside they will shut off the chillers and the entire hotel will be very hot.  If you want your room to be 70F don't even consider staying here.  You will never achieve a temperature below 76F.  If you think you will be able to connect to the internet to do your work, forget it.  There is no internet in this hotel.  The TV is fuzzy.  The property seems nice at first glance, but they are penny pinchers and they don't seem to care if guests are miserable.  I have stayed in this hotel a few times because of the good location.  But because I have experienced the exact same issues with the AC on every stay, I have decided to not stay at this hotel again.  The decision to turn off the chillers when the outside temperature drops a little is going to destroy this property.  I can adjust to many situations, but I can't adjust to being HOT!  I read lots of other posts about this hotel not having AC.  I should have trusted these other reviews.…","Responded Jun 4, 2021","Response from Krystal Monterrey, Director General at Krystal MonterreyResponded Jun 4, 2021","Dear Guest.  Receive cordial greetings from the entire personnel of Hotel Krystal Monterrey Centro. We would like to thank you for your feedback regarding the unfortunately unpleasant stay with us.  Before we begin we would like to express our most sincere apologizes for every inconvenience you have encountered during your stay here at Krystal Monterrey Centro. We regret not being able to meet the expectations you had before arriving at our hotel.  There is always room for improvement and feedback of our clients play a key role to show us where we have to make an extra effort to serve our valued clients better. We deeply regret that in your particular case we were not able to satisfy and surpass your stay´s expectations this time. However, we do not want to lose you as our valued guest and we hope to be given a second chance to recover the trust into our establishment.  Kind Regards."
391,"Location, Location, Location",5,11,2020,weatherman1974,"I selected Hotel Krystal Monterrey for eight consecutive nights in November 2020 for my tourism-related visit to Monterrey. The location of the hotel in the center of the city, the high ranking of the hotel on TripAdvisor, and the very positive description of the hotel in the Lonely Planet Mexico guidebook were the main reasons for me selecting this lodging.  Making a reservation was a simple and straightforward process. Using the hotel's official website, I selected my preferred room type (King Junior Suite – Bed and Breakfast) and dates of stay. After entering the details of my credit card to secure my reservation, I was immediately e-mailed a reservation voucher, which I eventually printed and brought with me when I departed for Monterrey.  When I arrived at General Mariano Escobedo International Airport, a taxi from the airport to the hotel was a fixed fare of $300 MXN and took about 30 minutes in light afternoon traffic. And when I arrived at the hotel, the check-in process with the receptionist, during which I paid the balance of my stay in full and received my room key card, was fast and efficient.  The bedroom of my room (#317) featured a king-size bed with four large pillows and sheets and comforter of excellent quality. Two nightstands, a small round table with two chairs and an overhead lamp, a dresser, an armchair, and a flat screen television with satellite were also present. An adjoining room contained a writing desk with chair, sofa, two end tables, an armchair, a closet, and a flat screen television with satellite. In-suite amenities included adequate air conditioning and wi-fi, an iron and ironing board, and a security safe. The sweeping view from my room was of the Plaza Hidalgo, buildings nearby and in the distance, and mountains located to the south and southeast of the hotel.  The bathroom featured a walk-in shower stall with rainhead shower head, ample hot water and strong water pressure, and large and clean towels (with an occasional stain, however). Amenities in the bathroom included a hair dryer, a makeup mirror, and a small selection of toiletries. American-style power outlets were located in the bathroom and throughout the suite. Housekeeping was quick and efficient and did an excellent job freshening the bathroom and entire suite each day. However, due to the current COVID pandemic, housekeeping was not automatic and had to be requested daily, either through the receptionist at the front desk or directly through housekeeping staff.  In the mornings, breakfast (included in my rate, otherwise it’s $260 MXN) consisted of pre-prepared plates of sliced fruit (pineapple, papaya, watermelon, and cantaloupe) and pan dulce (two to three small pieces). Eggs cooked to your liking were also served (I chose eggs scrambled with cheese and pieces of bacon), as well as refried beans, orange juice, and coffee. This breakfast setup was the result of the suspension of the hotel’s daily breakfast buffet due to the current COVID pandemic. The breakfast was filling and the service was excellent each morning during my stay (I tipped the waitstaff $30 MXN to $50 MXN each morning).  As mentioned in the first paragraph of this review, the location of the hotel in the center of Monterrey was one of the main reasons for me choosing Hotel Krystal Monterrey for my time in the city. I found currency exchange and several pharmacies in the near-immediate vicinity of the hotel, with numerous restaurants and tourism-related sites all within easy walking distance.  For eight consecutive nights at Hotel Krystal Monterrey, I paid $13,387.80 MXN ($657.81 USD). Upon completion of my stay, the transfer by taxi from the hotel to the airport took about 20 minutes in light mid-morning traffic and cost $400 MXN ($300 MXN fare + $45 MXN toll + $25 MXN tip).  For a future trip to Monterrey, I would have no problem selecting Hotel Krystal Monterrey again for my lodging, and would absolutely recommend this hotel to anyone considering staying in Monterrey for business or leisure.…","Responded Dec 1, 2020","Response from Krystal Monterrey, Director General at Krystal MonterreyResponded Dec 1, 2020",Dear guest:  It has been a pleasure to have received your visit in our property. We thank you for your valuable time that you shared with us to let us know your comments. Each of them allow us to know the quality of service that we are offering to our guests.  It will be an honor to continue to host your next visit. We will be looking forward to your soon return. Thanks for your preference!
392,Sr Humberto,5,10,2020,GlobeTrotting599762,The Hotel was really great they follow the protocol of hygiene the Room that we got was really beautiful .We got a suite with a panoramic view form the City. The service was exceptional. we will go back to the Hotel on the future.,"Responded Oct 16, 2020","Response from Krystal Monterrey, Director General at Krystal MonterreyResponded Oct 16, 2020",Dear guest: It is a pleasure to have the opportunity to greet you. And thank you for your visit. It will be an honor to have you back. Thanks for your preference!
393,Amazing staff,5,2,2020,Denise S,I had a particularly rough day during my last visit to Monterrey and when Marcela and Lizeth were so kind. When I got up to my room and settled in there was a knock on the door. Room service with coffee and cake and a beautiful note from Marcela and Lizeth wishing me a blessed night. BIG HUGS to both of them!!,"Responded Feb 22, 2020","Response from Krystal M, Gerente at Krystal MonterreyResponded Feb 22, 2020"," Dear Guest:  It is a pleasure to have the opportunity to greet you, and to inform you that it was a pleasure to have received your visit. We are glad to know that our staff gave you the quality service you deserve.  We will be gladly awaiting your return. Thanks for your preference!"
394,"If you want to be treated like trash, stay here.",1,12,2019,jascafe,"There's a reason you only see reviews from 2017 displayed on their website  - sure the rooms may be the nicest in the area (which isn't saying much because the quality of the hotels in this area is very very low), but the customer service is really the worst here. The front desk staff treats you like trash because they think they have some right to act snobby in this hotel. And the front desk manager Mrs. Jaramillo could care less about making you feel welcomed and making up for the mistakes of her front desk staff. The food is also trying to too hard to be American so they don't get either the Mexican or the American food right  - they both suffer. The amenities are also a joke. The location is the only thing this hotel has going for it so if that's what you're looking for pick one of the other dozens (and cheaper) hotels in the area. Don't waste your money here.…","Responded Jan 2, 2020","Response from Krystal M, Gerente at Krystal MonterreyResponded Jan 2, 2020"," Dear guest: It is a pleasure to be in touch with you. We are very sorry for the bad time that had to happen. We thank you in advance for your valuable time that we offer to share your comments. Each of them allows us to continue improving in quality of our service. We would not like to be left with a bad impression of our service. Let us on your next visit change your perspective about our service. Showing that we are a hotel that offers quality service.  It will be an honor to receive your visit again, we will be gladly awaiting your return. Thanks for your preference!"
395,Loved the location in the historic city center but wouldn't rush back,3,12,2019,laviajeraliz,"There were several minor things that kept this from being a great choice. The amenities in the room are pretty basic. I'm not a big fan of rain showers.  Would have appreciated a shower cap to avoid getting my head wet.  Would also have liked a face cloth.  Towels smelled funny.  WiFi wasn't great—periodically times out. Breakfast service wasn't kind of strange. The woman at the egg station is great! But other things . . . The items on the buffet weren't replenished very promptly so there were times when breads and fruit were sparse. Butter only on request?  One day there was no fruit preserves.  The settings at the table weren't put out very carefully so one day there were no napkins, another day no knives.  I had trouble controlling the temperature in my room. The temperature seemed to vary during the night.  I wish I could have turned off the thermostat and opened a window but the windows don't open.  Minor issues aside, the hotel is very clean and very comfortable. I had a great view of the mountains from my room. It's very quiet.…","Responded Dec 19, 2019","Response from Krystal M, Gerente at Krystal MonterreyResponded Dec 19, 2019","  Dear guest:  It's a pleasure to greet you. Thank you for choosing our property for your stay, it was an honor to have received your visit. Thank you for your valuable time to let us know your comments. Each of them are very important because they allow us to continue improving the quality of our service.  We will be gladly awaiting your return. Thank you very much for your preference!"
